mold_name,model_number,release_name,color_description,release_year_start,release_year_end
American Quarter Horse Mare,682,American Quarter Horse Mare,bay,2005,2008
American Quarter Horse Mare,927,Dun Quarter Horse,"dun, shaded muzzle, black points, dorsal stripe, primitive leg barring, fore stockings",2015,2018
American Quarter Horse Mare,61021,"Western Riding Gift Set Includes doll, saddle, bridle and blanket",red roan,2007,2009
American Quarter Horse Mare,301137,"Prince Plaudit Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",dark grey blanket,2010,
American Quarter Horse Mare,301138,"Go Man Go Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",dark bay,2010,
American Quarter Horse Mare,301139,"Far Ute Keno Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",bay medicine hat pinto,2010,
American Quarter Horse Mare,703112,Platinum,dapple grey pinto,2009,
American Quarter Horse Mare,750102,"AQHA Hollywood Gold Family With American Quarter Horse Stallion, American Quarter Horse Foal",bay,2007,
American Quarter Horse Mare,750602,"AQHA Poco Bueno Family With American Quarter Horse Foal, American Quarter Horse Mare, American Quarter Horse Stallion",buckskin,2007,
American Quarter Horse Mare,750702,"AQHA Son O' Leo Family With American Quarter Horse Foal, American Quarter Horse Stallion",fleabitten grey,2007,
American Quarter Horse Mare,750802,"AQHA Blue Gold Family With American Quarter Horse Stallion, American Quarter Horse Foal",palomino,2007,
American Quarter Horse Mare,755402,Riding Western,bay pinto,2012,2013
American Quarter Horse Stallion,425,Bay Appaloosa,bay blanket,2008,
American Quarter Horse Stallion,625,Bay Appaloosa,bay blanket,2008,
American Quarter Horse Stallion,665,American Quarter Horse,liver chestnut,2006,2008
American Quarter Horse Stallion,940,Buckskin Paint,buckskin paint,2011,2018
